8,4:10 14,2:-2 33,0:-4 3,4:-10 44,2:5
36,2:-4 42,3:5 22,3:8 83,4:4 61,2:1
23,1:-1 84,4:-7 89,0:-5 38,3:-3 97,2:1
55,2:9 36,3:-5 42,4:2 3,3:3 3,0:10
62,0:3 22,4:-8 98,3:-9 42,1:5 71,3:2
45,4:-6 20,2:6 50,4:10 25,4:10 96,0:-6
73,1:8 97,1:-2 48,2:1 22,1:0 3,2:-3
82,4:9 85,3:1 54,1:-10 65,2:8 97,0:-4
15,4:-8 9,4:-7 67,0:5 42,2:-1 53,1:-7
21,3:-4 11,0:0 47,4:6 89,3:-9 96,4:-9
41,2:5 34,2:-10 10,0:-10 80,0:-4 39,0:-9
14,1:-1 39,1:-7 77,0:8 30,0:2 27,3:-7
24,3:8 17,1:-4 58,1:9 24,0:3 28,4:7
46,2:-7 54,3:-8 81,4:0 70,1:7 4,1:5
32,3:1 39,4:-6 99,4:1 30,1:2 1,1:5
51,0:-4 59,2:0 8,1:-2 37,4:-9 79,2:8
77,2:-4 13,1:-3 50,0:-4 8,2:-3 19,1:-9
75,1:2 66,4:1 78,1:-1 82,2:4 37,1:6
20,3:-6 93,3:-2 57,4:2 69,0:10 8,0:4
83,1:0 92,2:-4 58,2:0 72,2:-7 11,1:8
91,1:-5 85,0:-3 47,0:1 78,2:-9 83,2:-4
37,0:3 77,4:-4 95,3:7 57,1:1 11,4:0
12,0:-8 56,2:-3 64,0:8 35,4:8 21,1:-9
2,1:6 91,3:6 62,3:9 71,0:-6 39,3:9
52,0:-2 46,3:3 93,4:-2 31,2:-5 61,4:0
7,2:4 94,3:1 87,4:-2 60,4:3 5,0:-1
46,1:4 56,3:-9 43,1:-5 0,3:-6 73,0:4
36,0:1 45,0:-2 24,4:1 55,1:-4 61,0:5
95,2:0 9,1:-9 80,2:10 99,3:4 65,4:-9
55,3:-5 48,1:-5 66,2:3 99,1:-9 29,0:-8
31,1:10 82,1:10 26,4:-10 35,0:1 26,3:-2
11,2:-1 75,4:-3 65,0:7 94,0:-1 43,0:9
68,4:2 78,4:-1 34,0:3 9,0:3 15,3:2
91,4:-7 13,4:-1 34,4:4 75,3:5 31,0:0
25,3:2 11,3:6 69,2:-6 29,1:-8 33,2:2
67,1:6 53,2:10 46,0:-1 8,3:7 40,4:-1
36,4:4 49,2:-10 72,1:2 18,2:4 5,4:3
